Keywords,Search Volume (Average),Search Volume (Sep 2024),Search Volume (Oct 2024),Search Volume (Nov 2024),Search Volume (Dec 2024),Search Volume (Jan 2025),Search Volume (Feb 2025),Search Volume (Mar 2025),Search Volume (Apr 2025),Search Volume (May 2025),Search Volume (Jun 2025),Search Volume (Jul 2025),Search Volume (Aug 2025),Search Volume (Sep 2025),Search Volume (Oct 2025),Search Volume (Nov 2025),Search Volume (Dec 2025),Search Volume (Jan 2026),Search Volume (Feb 2026),Search Volume (Mar 2026),Search Volume (Apr 2026),Search Volume (May 2026),Search Volume (Jun 2026),Search Volume (Jul 2026),Search Volume (Aug 2026),Trend,Top of Page Bid (Low Range) (JPY),Top of Page Bid (High Range) (JPY),Competition
hss型hsp 変わってる,720,590,590,480,590,590,590,590,720,720,590,590,720,880,880,1000,720,880,590,590,720,590,480,480,480,-19,0.00,0.00,0
hss 型 hsp 天才,590,1000,880,720,720,880,1000,1300,1000,1300,1000,720,720,880,880,880,720,720,590,720,480,480,390,480,390,-61,0.00,0.00,0
hss型hsp 天才,590,1000,880,720,720,880,1000,1300,1000,1300,1000,720,720,880,880,880,720,720,590,720,480,480,390,480,390,-61,0.00,0.00,0
hss型hsp天才,590,1000,880,720,720,880,1000,1300,1000,1300,1000,720,720,880,880,880,720,720,590,720,480,480,390,480,390,-61,0.00,0.00,0
hss 型,480,720,720,590,590,590,1000,720,590,590,590,480,590,590,390,590,480,480,390,480,480,480,390,480,480,-33,40.69,221.99,3
hss型hsp キャパオーバー,480,720,720,590,720,590,720,720,720,720,590,480,720,880,880,720,590,480,390,320,390,390,260,260,260,-64,0.00,0.00,0
hss型hsp 天才肌,480,210,260,170,170,210,320,320,480,480,390,320,590,390,480,590,590,480,390,480,590,390,390,390,390,86,0.00,0.00,0
hss型hsp 特徴,480,720,880,590,880,1900,2900,1300,480,390,1300,1900,1300,720,390,880,480,480,390,390,320,320,320,320,260,-64,0.00,0.00,1
hss型hsp 限界サイン,480,880,880,720,590,720,1000,1000,720,1300,880,720,590,590,590,480,390,320,320,480,720,590,320,480,480,-45,3.62,156.97,1
hss型hsp 頭の回転,480,10,140,170,170,170,320,390,480,590,480,480,720,720,590,880,590,480,390,390,390,390,320,390,390,3800,0.00,0.00,0
hss型hsp しんどい,390,720,720,720,480,390,480,590,590,720,480,390,480,480,590,590,480,390,390,390,320,320,210,140,50,-93,0.00,0.00,1
hss型hsp やま,390,0,0,0,0,0,0,0,0,0,0,0,0,0,110,210,590,590,390,390,590,590,390,480,480,336,0.00,0.00,0
hss型hsp 嫌 われる,390,390,480,390,320,320,390,390,390,390,390,320,320,480,590,720,320,320,260,320,260,260,260,210,170,-56,0.00,0.00,0
hss型hsp 嫌われる,390,390,480,390,320,320,390,390,390,390,390,320,320,480,590,720,320,320,260,320,260,260,260,210,170,-56,0.00,0.00,0
hsp hss 型,320,170,170,110,110,90,110,140,170,170,140,90,140,140,110,110,260,260,320,390,480,480,390,390,320,88,99.81,213.92,3
hss型hsp 何人 に1人,320,480,390,320,320,390,720,590,590,590,480,390,390,480,390,480,320,320,260,260,210,170,110,260,320,-33,0.00,0.00,0
hss型hsp 友達 いない,320,170,210,210,210,170,320,320,320,320,320,260,390,390,480,480,320,320,260,260,260,260,210,260,260,53,0.00,0.00,0
hss型hsp 友達いない,320,170,210,210,210,170,320,320,320,320,320,260,390,390,480,480,320,320,260,260,260,260,210,260,260,53,0.00,0.00,0
hss 4,260,170,170,170,210,170,210,210,170,210,210,210,210,320,390,260,260,260,320,260,210,170,210,170,170,0,0.00,0.00,4
hss型hsp 女性 特徴,260,140,170,110,110,110,110,110,90,90,110,110,210,170,140,210,170,110,260,480,390,390,170,260,210,50,0.00,0.00,1
hss型hsp 恋愛,260,320,320,260,260,260,320,320,320,260,320,210,320,320,320,390,260,260,260,210,210,210,210,210,170,-47,0.00,0.00,1
hss型hsp 本,260,210,210,140,170,170,170,260,170,210,320,260,320,320,210,260,260,320,210,210,170,210,260,210,260,24,7.97,204.44,86
hss型hsp 結婚 できない,210,170,170,90,140,170,260,260,320,320,260,260,320,390,260,260,260,320,170,170,140,140,140,90,140,-18,0.00,0.00,0
hss型hsp 結婚できない,210,170,170,90,140,170,260,260,320,320,260,260,320,390,260,260,260,320,170,170,140,140,140,90,140,-18,0.00,0.00,0
hss型hsp 有名人,170,210,140,110,90,110,140,110,140,170,170,170,170,170,170,140,140,110,110,140,170,210,170,210,260,24,0.00,0.00,0
hss型hsp ac,140,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,320,880,110,170,1600,2.45,267.41,3
hss型hsp 成功者,140,110,40,40,50,70,90,70,70,140,170,110,170,140,170,170,140,170,140,90,90,90,170,210,110,0,0.00,0.00,0
hss型hsp 友達 少ない,110,70,70,30,50,50,90,50,70,90,90,90,110,170,110,170,110,110,90,70,50,50,70,70,70,0,0.00,0.00,0
hss型hsp infj,90,50,40,40,40,50,50,110,50,70,50,40,50,40,50,90,70,90,70,70,90,170,110,110,70,40,0.00,0.00,0
hss型hsp モラハラ,90,50,30,50,30,50,70,70,70,70,70,50,140,110,140,110,110,110,70,70,70,70,70,90,70,40,0.00,0.00,0
hss型hsp 天職,90,30,20,20,10,10,30,50,10,20,30,40,50,90,70,140,110,110,70,110,140,140,90,50,50,67,224.36,858.44,7
hss型hsp 診断テスト 無料,90,20,20,10,10,10,50,30,50,50,50,40,70,70,40,90,70,90,90,90,110,110,140,90,70,250,6.55,103.60,21
hss型hsp 診断テスト無料,90,20,20,10,10,10,50,30,50,50,50,40,70,70,40,90,70,90,90,90,110,110,140,90,70,250,6.55,103.60,21
hss型hsp あるある 恋愛,70,70,50,30,20,50,70,50,70,90,50,50,70,110,140,140,110,110,70,70,30,50,10,10,20,-71,0.00,0.00,0
hss型hsp 向 かない 仕事,70,210,210,140,110,140,140,110,140,170,140,140,140,170,70,70,50,50,40,70,140,90,30,40,20,-90,0.00,0.00,0
hss型hsp 孤独,70,50,40,50,50,40,70,70,70,110,90,50,90,110,90,110,110,110,70,90,50,40,50,50,50,0,0.00,0.00,0
hss型hsp 男性 特徴,70,140,210,260,320,260,320,260,210,210,110,70,140,140,170,110,70,50,40,30,40,50,20,20,50,-64,0.00,0.00,1
hss型hsp 適応障害,70,30,20,10,20,20,10,20,10,20,10,20,20,10,20,10,10,20,30,40,90,90,90,170,210,600,0.00,0.00,1
hss型hsp 適職,70,140,110,90,70,140,90,110,90,70,140,70,70,90,110,110,70,40,50,40,40,50,70,90,40,-71,107.12,452.54,30
hss型hsp adhd,50,40,40,50,30,50,40,40,50,70,50,40,50,50,40,40,50,40,40,140,70,50,50,70,50,25,0.00,0.00,2
hss型hsp adhd 併発,50,50,50,40,50,70,70,70,50,50,70,40,50,40,30,70,50,30,40,90,50,50,70,50,50,0,0.00,0.00,0
hss型hsp hsp 違い,50,0,0,0,0,0,0,0,0,0,0,0,0,20,50,70,50,70,40,50,90,50,30,30,30,50,0.00,0.00,0
hss型hsp コーチング,50,0,0,0,0,0,0,0,0,0,0,0,0,30,30,20,10,10,10,20,10,140,260,90,90,200,0.00,0.00,3
hss型hsp 人間関係,50,70,70,40,90,50,50,70,90,110,90,40,70,90,70,90,70,50,40,40,20,30,30,20,40,-43,0.00,0.00,0
hss型hsp 割合,50,70,50,50,40,50,50,50,50,70,50,40,90,70,50,50,50,50,50,70,70,70,40,70,40,-43,0.00,0.00,0
hss型hsp 嫉妬,50,70,70,40,30,30,50,90,50,70,70,50,70,90,110,90,50,50,50,50,40,50,20,40,40,-43,0.00,0.00,0
hss型hsp 恋愛 できない,50,70,50,40,30,50,30,30,50,70,70,50,90,70,50,50,70,70,30,70,30,50,40,30,40,-43,0.00,0.00,0
hss型hsp 恋愛 男,50,70,70,50,50,50,50,90,70,70,90,40,70,70,70,30,50,50,40,40,40,50,50,40,30,-57,0.00,0.00,0
hss型hsp 恋愛できない,50,70,50,40,30,50,30,30,50,70,70,50,90,70,50,50,70,70,30,70,30,50,40,30,40,-43,0.00,0.00,0
hss型hsp 本 おすすめ,50,20,30,20,10,20,20,30,30,20,30,10,30,20,170,140,30,40,40,30,20,50,20,30,30,50,0.00,0.00,93
hss型hsp 生き方,50,110,110,90,70,140,140,70,70,70,70,50,90,90,70,40,70,70,50,50,40,40,50,50,50,-55,0.00,0.00,10
infj hss型hsp,50,70,50,40,40,50,70,70,50,40,50,50,50,50,40,40,40,50,50,50,40,50,30,50,50,-29,0.00,0.00,2
adhd hss型hsp,40,40,20,30,30,20,40,40,30,40,50,30,20,20,20,50,40,30,30,70,40,40,50,40,40,0,0.00,0.00,3
hss型hsp adhd 違い,40,10,20,40,20,30,20,40,30,50,30,20,20,40,40,30,40,20,40,50,40,40,40,20,30,200,0.00,0.00,0
hss型hsp カウンセラー,40,50,70,40,50,70,50,50,90,110,90,90,110,90,40,70,30,50,30,30,50,50,20,20,20,-60,93.10,205.51,20
hss型hsp カウンセリング,40,50,70,40,50,70,50,50,90,110,90,90,110,90,40,70,30,50,30,30,50,50,20,20,20,-60,93.10,205.51,20
hss型hsp コミュニティ,40,70,50,50,40,50,40,50,70,70,70,50,50,70,30,70,50,50,40,30,30,50,20,20,20,-71,0.00,0.00,0
hss型hsp モテ る,40,20,30,10,10,10,40,20,30,30,40,90,50,40,70,70,40,50,50,30,40,30,30,20,30,50,0.00,0.00,0
hss型hsp 仕事 早い,40,0,0,0,0,0,0,0,0,0,0,0,30,30,10,70,50,50,30,50,50,40,30,40,50,67,0.00,0.00,0
hss型hsp 仕事 続かない,40,110,110,170,170,40,70,30,70,110,90,30,50,90,90,30,20,30,30,50,50,20,40,40,20,-82,0.00,0.00,14
hss型hsp 気質,40,20,20,20,10,20,10,30,30,20,40,20,90,50,40,40,50,30,30,70,20,30,20,30,20,0,0.00,0.00,5
hss型hsp 結婚,40,70,40,50,20,40,40,40,30,70,50,40,210,70,20,50,30,50,40,30,20,50,30,10,30,-57,0.00,0.00,0
hss型hsp 診断 病院,40,40,50,40,30,30,50,40,50,50,40,40,70,70,30,50,40,30,30,50,20,40,40,70,30,-25,94.39,247.17,12
hss型hsp 適職 診断,40,30,70,30,30,40,50,30,20,20,20,30,40,40,50,30,40,50,50,40,40,30,50,20,10,-67,113.24,297.52,69
hss型hsp infp,30,30,20,20,20,20,30,40,30,30,30,20,20,20,30,30,30,40,20,20,30,50,20,20,10,-67,0.00,0.00,0
hss型hsp intj,30,30,20,20,10,20,10,20,20,20,20,20,30,10,20,30,20,20,10,20,40,50,40,40,20,-33,0.00,0.00,0
hss型hsp エンパス,30,10,10,10,10,20,20,10,20,30,10,20,20,20,30,10,10,20,10,10,20,30,110,10,20,100,0.00,0.00,1
hss型hsp チェック,30,110,110,40,50,50,50,70,50,70,50,30,40,40,40,70,30,30,40,30,20,20,10,10,10,-91,0.00,0.00,10
hss型hsp 直感,30,20,30,10,10,10,70,40,70,70,90,90,110,110,50,70,70,10,10,10,30,10,10,20,20,0,0.00,0.00,0
hss型hsp 記憶力,30,10,10,20,10,10,10,20,10,40,40,30,20,30,20,20,20,30,30,20,40,40,20,20,10,0,0.00,0.00,0
hss型hsp 趣味,30,50,30,50,50,50,30,50,70,40,40,50,30,40,30,20,30,30,20,30,10,30,30,10,30,-40,0.00,0.00,0
hss型のhsp,30,30,50,40,20,40,40,30,50,70,30,40,40,40,40,40,30,30,20,50,40,30,30,20,30,0,0.00,0.00,4
infj hss型hsp 仕事,30,30,30,10,20,10,10,30,20,30,20,20,20,20,20,30,20,20,30,40,30,40,40,30,10,-67,0.00,0.00,0
hss型hsp asd,20,20,10,20,20,10,20,20,30,20,20,10,10,20,20,20,20,10,10,20,10,30,10,20,20,0,0.00,0.00,1
hss型hsp hss型hse 違い,20,10,10,20,20,30,20,20,20,40,20,20,40,10,20,10,10,20,30,20,20,30,30,20,30,200,0.00,0.00,0
hss型hsp intp,20,10,10,10,10,20,10,20,10,20,10,30,10,10,10,20,20,10,10,10,20,30,10,10,10,0,0.00,0.00,0
hss型hsp うつ病,20,20,30,20,10,10,20,20,20,10,20,20,20,30,20,20,30,30,10,20,20,30,30,20,20,0,0.00,0.00,0
hss型hsp アーティスト,20,70,70,70,50,50,70,70,50,70,50,40,70,40,40,20,20,20,20,20,10,30,10,10,10,-86,0.00,0.00,0
hss型hsp スピリチュアル,20,10,20,30,20,20,10,10,20,30,50,20,30,10,20,20,30,20,20,20,20,20,30,30,20,100,0.00,0.00,0
hss型hsp テスト,20,10,10,10,10,10,10,10,20,20,20,10,20,10,10,50,20,10,20,20,20,20,20,10,10,0,0.00,0.00,39
hss型hsp 交流会,20,20,10,10,10,20,10,10,10,10,10,10,10,20,20,30,20,30,30,30,30,20,10,30,20,0,0.00,0.00,0
hss型hsp 人間関係リセット,20,10,10,10,20,10,20,30,10,10,10,10,30,20,20,40,20,10,10,20,10,20,10,10,10,0,0.00,0.00,0
hss型hsp 仕事 おすすめ,20,10,20,10,10,30,10,20,10,10,40,10,10,20,30,20,10,10,10,20,10,20,40,10,10,0,118.59,244.18,28
hss型hsp 仕事 辛い,20,30,20,20,20,30,10,10,20,20,20,20,20,30,30,20,20,20,10,10,10,30,10,10,10,-67,0.00,0.00,29
hss型hsp 仕事 辞めたい,20,110,110,140,210,50,30,70,50,70,10,10,10,20,30,30,10,10,20,20,20,10,20,10,10,-91,0.00,0.00,5
hss型hsp 仕事選び,20,10,20,20,20,10,10,10,30,20,20,10,10,10,20,30,40,30,20,50,10,30,20,10,30,200,132.46,445.28,37
hss型hsp 何人 に 一人,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,30,20,20,110,40,10,-50,0.00,0.00,0
hss型hsp 働き方,20,40,30,70,110,70,70,40,20,10,20,30,10,10,20,10,20,20,20,10,10,10,30,20,10,-75,0.00,0.00,17
hss型hsp 働けない,20,20,20,30,10,40,40,50,20,40,20,20,30,40,30,40,20,30,10,10,10,40,20,10,10,-50,0.00,0.00,0
hss型hsp 同士 恋愛,20,40,40,30,40,50,30,50,30,40,50,20,50,30,40,20,20,20,10,20,20,20,10,20,20,-50,0.00,0.00,0
hss型hsp 営業,20,50,10,20,10,20,20,30,10,20,20,20,10,20,10,10,20,20,20,20,10,10,10,20,10,-80,0.00,0.00,8
hss型hsp 子ども,20,40,30,30,30,10,20,10,10,30,40,20,50,10,40,20,10,30,20,20,20,10,10,10,10,-75,0.00,0.00,0
hss型hsp 子育て,20,50,50,30,20,50,30,20,30,20,40,40,50,40,20,30,20,20,30,30,20,30,20,20,20,-60,0.00,0.00,0
hss型hsp 対処法,20,50,20,40,50,30,50,70,40,40,20,10,30,30,20,30,20,20,20,10,20,10,20,20,10,-80,0.00,0.00,2
hss型hsp 性格,20,40,20,30,30,20,50,30,30,20,40,30,30,20,20,30,20,20,30,30,20,20,10,20,30,-25,0.00,0.00,0
hss型hsp 恋愛 女,20,30,50,50,10,10,30,20,10,20,10,20,20,10,10,30,10,20,30,30,30,40,20,20,20,-33,0.00,0.00,0
hss型hsp 恋愛 相性,20,20,20,10,10,20,20,10,10,10,20,20,10,10,40,20,30,20,10,10,30,40,20,20,10,-50,0.00,0.00,0
hss型hsp 才能,20,10,10,10,20,10,10,30,20,10,40,10,70,30,10,20,20,10,10,20,30,10,10,10,10,0,0.00,0.00,0
hss型hsp 有名人 海外,20,10,10,10,10,10,10,10,10,10,10,10,10,10,20,20,20,10,20,20,30,20,10,10,10,0,0.00,0.00,0
hss型hsp 甘え,20,40,40,30,40,30,30,40,40,70,40,30,30,50,50,40,20,20,10,10,10,10,10,10,10,-75,0.00,0.00,0
hss型hsp 疲れやすい,20,10,10,20,10,20,30,20,20,30,20,20,20,20,10,20,20,20,10,20,30,10,20,10,10,0,0.00,0.00,0
hss型hsp 知恵袋,20,30,20,10,20,20,20,20,20,20,20,30,20,20,20,20,10,10,20,40,10,20,10,10,10,-67,0.00,0.00,0
hss型hsp 経営者,20,30,30,30,20,20,30,30,40,20,40,40,20,30,40,10,10,10,10,10,10,20,10,10,10,-67,0.00,0.00,0
hss型hsp 結婚相手,20,10,10,0,20,10,10,20,10,10,20,10,10,10,20,30,30,70,10,10,10,20,20,10,10,0,0.00,0.00,0
hss型hsp 職業,20,20,20,30,20,20,20,10,30,50,30,30,30,20,40,30,40,20,20,10,10,20,20,10,10,-50,0.00,0.00,15
hss型hsp 苦手な人,20,40,30,30,10,20,20,20,30,30,20,20,30,20,20,20,40,20,10,20,30,10,10,10,10,-75,0.00,0.00,0
hss型hsp 診断 無料,20,30,30,20,10,10,10,20,20,10,10,10,30,20,10,40,10,10,10,10,10,10,20,50,40,33,16.89,167.43,23
hss型hsp 転職,20,40,90,90,70,40,40,70,40,50,40,20,20,20,20,50,20,20,20,20,20,10,20,10,10,-75,251.88,948.50,55
hss型hsp 遺伝,20,10,20,10,10,20,20,10,20,20,30,20,30,20,10,30,20,10,10,20,20,20,20,10,20,100,0.00,0.00,0
hss型hsp 頭 いい,20,0,0,0,0,0,0,0,50,70,20,20,30,70,50,20,20,20,30,30,10,10,10,10,10,-80,0.00,0.00,0
hss型hsp 飽き性,20,20,20,20,30,40,20,30,30,20,30,20,30,20,20,30,10,20,10,10,10,20,20,20,20,0,0.00,0.00,0
infp hss型hsp,20,30,10,30,30,10,20,30,30,30,30,30,30,30,20,10,20,10,30,20,10,30,10,20,10,-67,0.00,0.00,0
enfp hss型hsp,10,20,20,20,20,20,10,20,10,20,20,20,10,10,10,10,10,10,10,10,10,10,10,10,10,-50,0.00,0.00,0
hss型hsp 1人に なりたい,10,0,0,10,10,0,0,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,0,0,0,0,0.00,0.00,0
hss型hsp acとは,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,30,70,0,0.00,0.00,2
hss型hsp adhd 両方,10,10,10,10,10,10,10,10,10,10,10,10,20,10,20,20,10,10,10,20,10,10,10,10,10,0,0.00,0.00,0
hss型hsp enfp,10,10,10,10,10,20,20,20,20,30,10,10,20,20,10,10,10,10,10,20,10,20,20,10,10,0,0.00,0.00,0
hss型hsp hse 違い,10,10,20,10,20,10,10,10,10,10,20,10,10,10,10,20,10,10,10,20,20,10,10,10,0,0,0.00,0.00,0
hss型hsp iq,10,10,10,20,20,10,10,10,20,10,20,10,10,20,10,10,10,10,10,10,10,20,10,10,10,0,0.00,0.00,0
hss型hsp お金,10,10,10,40,10,10,10,10,0,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,0,0,0.00,0.00,0
hss型hsp と は 特徴,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,10,10,10,20,0,10,0,0,0,0.00,0.00,0
hss型hsp めんどくさい,10,20,10,10,10,10,20,10,10,10,10,10,30,10,40,20,20,20,10,10,10,10,10,10,10,-50,0.00,0.00,0
hss型hsp やる気,10,10,10,10,10,10,10,10,10,10,10,10,10,20,10,0,0,10,0,0,0,0,0,10,0,0,0.00,0.00,0
hss型hsp よく寝る,10,0,10,10,10,0,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,20,10,0,0,0.00,0.00,0
hss型hsp わがまま,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,0,10,10,0,0.00,0.00,0
hss型hsp エンジニア,10,20,10,10,10,20,10,10,10,10,20,10,10,10,10,20,10,10,10,10,10,10,10,10,10,-50,0.00,0.00,0
hss型hsp カフェ,10,20,20,30,10,20,10,10,30,10,20,10,30,30,10,20,20,10,10,10,10,10,10,10,10,-50,0.00,0.00,0
hss型hsp クリエイティブ,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,0,0,0.00,0.00,0
hss型hsp ストレス,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,0.00,0.00,0
hss型hsp ストレス解消,10,10,10,20,10,10,10,10,10,10,10,10,10,10,20,10,10,10,10,10,10,10,10,10,10,0,0.00,0.00,11
hss型hsp チェックリスト,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,9.51,158.22,8
hss型hsp ネガティブ,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0.00,0.00,0
hss型hsp フリー ランス,10,40,20,20,10,20,10,30,20,10,20,10,140,10,30,10,10,10,10,10,10,10,10,10,10,-75,0.00,0.00,7
hss型hsp フリーランス,10,40,20,20,10,20,10,30,20,10,20,10,140,10,30,10,10,10,10,10,10,10,10,10,10,-75,0.00,0.00,7
hss型hsp プライド 高い,10,0,30,40,20,20,30,10,10,10,10,30,10,10,10,10,10,10,10,10,10,10,10,0,10,-67,0.00,0.00,0
hss型hsp マイペース,10,10,10,0,10,10,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,10,0,0.00,0.00,14
hss型hsp マルチタスク,10,10,10,10,10,20,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0.00,0.00,0
hss型hsp メリット,10,10,10,10,10,10,10,10,10,10,20,10,10,10,10,0,10,10,10,10,10,10,10,10,10,0,0.00,0.00,0
hss型hsp リーダー,10,10,10,10,20,10,10,20,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0.00,0.00,0
hss型hsp ルーティン,10,0,0,10,10,0,10,10,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0.00,0.00,0
hss型hsp ロングスリーパー,10,10,10,10,10,10,10,0,10,10,10,10,10,0,10,10,10,10,10,10,10,10,10,10,0,0,0.00,0.00,0
hss型hsp 一人暮らし,10,10,10,10,20,10,10,10,10,20,10,10,10,10,10,10,10,10,0,10,10,10,0,10,10,0,0.00,0.00,0
hss型hsp 不安,10,10,10,10,10,10,10,10,10,10,10,10,20,10,0,10,10,10,10,10,10,10,10,10,10,0,0.00,0.00,0
hss型hsp 人付き合い,10,10,10,10,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0.00,0.00,6
hss型hsp 人見知り,10,10,10,10,10,10,10,10,10,10,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10,0,0.00,0.00,0
hss型hsp 他人に興味が 無い,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,0,10,10,10,10,0,0.00,0.00,0
hss型hsp 付き合い方,10,10,30,20,20,10,20,10,10,30,20,20,30,10,10,20,10,20,10,10,20,10,20,10,10,0,0.00,0.00,0
hss型hsp 住む場所,10,20,20,20,10,10,30,10,10,20,20,10,10,10,10,10,10,10,10,10,10,0,0,10,10,-50,0.00,0.00,0
hss型hsp 体調不良,10,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,20,10,10,10,10,10,10,10,10,0,0.00,0.00,0
hss型hsp 優しい,10,10,10,10,0,20,20,20,50,70,40,40,20,20,10,10,10,10,20,10,10,10,10,10,20,100,0.00,0.00,0
hss型hsp 優秀,10,0,10,10,10,10,10,20,40,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,10,0,0.00,0.00,0
hss型hsp 公務員,10,10,20,10,10,10,20,10,10,20,10,10,10,10,30,10,10,10,10,10,20,10,10,10,10,0,0.00,0.00,0
hss型hsp 内向型,10,10,20,10,20,10,20,10,20,20,10,10,10,10,10,10,10,20,10,10,10,10,20,10,10,0,0.00,0.00,0
hss型hsp 副業,10,50,50,90,90,20,20,50,10,10,10,20,10,10,10,10,0,10,10,10,10,10,10,10,10,-80,0.00,0.00,0
hss型hsp 友達,10,20,10,10,10,20,10,20,20,30,10,10,10,20,20,10,10,10,10,10,10,10,0,10,10,-50,0.00,0.00,0
hss型hsp 向いてる 仕事 知恵袋,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,10,20,20,20,0,0.00,0.00,0
hss型hsp 向いてるバイト,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,10,10,20,10,10,0,0,0.00,0.00,0
hss型hsp 向いてる仕事 知恵袋,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,10,20,20,20,0,0.00,0.00,0
hss型hsp 嘘,10,0,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,0,10,0,10,10,10,0,0,0,0.00,0.00,0
hss型hsp 変人,10,10,10,10,10,10,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,0,0.00,0.00,0
hss型hsp 夜型,10,10,10,10,10,10,0,10,0,10,0,10,10,10,10,10,10,10,0,10,10,10,10,10,10,0,0.00,0.00,0
hss型hsp 女,10,10,0,0,10,10,10,20,10,10,0,10,10,10,10,10,0,10,0,10,0,10,10,10,10,0,0.00,0.00,0
hss型hsp 好 かれる,10,30,30,30,30,10,40,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,-67,0.00,0.00,0
hss型hsp 好かれる,10,30,30,30,30,10,40,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,-67,0.00,0.00,0
hss型hsp 妻,10,30,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,10,10,0,10,10,10,10,10,-67,0.00,0.00,0
